"Graested, Denmark",no
"Orø, Denmark",yes
"Veksø, Denmark",yes
"Frederiksværk, Denmark",no
"Vejby, Denmark",yes
"Hundested, Denmark",no
"Gilleleje, Denmark",yes
"Vejby, Denmark",no
"Hundested, Denmark",no
"Jægerspris, Denmark",no
"Jaegerspris, Denmark",yes
"Liseleje, Denmark",yes
"Frederiksværk, Denmark",yes
"Dronningmølle, Denmark",no
"Vejby, Denmark",yes
"Hornbæk, Denmark",no
"Melby, Denmark",no
"Orø, Denmark",yes
"Skodsborg, Denmark",yes
"Jægerspris, Denmark",yes
"Orø, Denmark",yes
"Skodsborg, Denmark",yes
"Jægerspris, Denmark",yes
"Helsinge, Denmark",yes
"Hundested, Denmark",yes
"Höllviken, Sweden",yes
"Holbæk, Denmark",yes
"Rørvig, Denmark",yes
"Solrød Strand, Denmark",yes
"Lomma, Sweden",yes
"Jægerspris, Denmark",yes
"Tisvildeleje, Denmark",yes
"Strøby, Denmark",yes
"Højby, Denmark",no
"Nykøbing Sjælland, Denmark",yes
"Kokkedal, Denmark",yes
